Organization,State,Categories,Contact
M I International Heart And Healthcare Foundation,uttar pradesh,"Education, Health, Rural Development",Tel:  9810108440 Email:  cardiologistvivekgupta@gmail.com Website:  https://sites.google.com/site/indoeuropeancoursecardiology/
Madhuuvan Ekta Vikas Welfare Society,delhi,"Agriculture, Education, Environment, Health, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9873281417 Email:  mevwsoc@gmail.com Website:  http://www.mevws.org
Madhuuvan Ekta Vikas Welfare Society,haryana,"Agriculture, Education, Environment, Health, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9873281417 Email:  mevwsoc@gmail.com Website:  http://www.mevws.org
Madurai Health And Leprosy Relief Centre,tamil nadu,"Education, Health, Livelihood",Tel:  8754210273 Email:  mahelerecen@gmail.com Website:  http://mahelerecen.50webs.com/
Madurai Multipurpose Social Service Society (MMSSS),tamil nadu,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9442535393 Email:  secmmsss@gmail.com Website:  http://www.mmsss.org
Madurai Non Formal Education Center,karnataka,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9894473003 Email:  mnecindia@gmail.com Website:  http://www.mnec.org.in
Madurai Non Formal Education Center,kerala,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9894473003 Email:  mnecindia@gmail.com Website:  http://www.mnec.org.in
Madurai Non Formal Education Center,madhya pradesh,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9894473003 Email:  mnecindia@gmail.com Website:  http://www.mnec.org.in
Madurai Non Formal Education Center,tamil nadu,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9894473003 Email:  mnecindia@gmail.com Website:  http://www.mnec.org.in
Maharashtra Arogya Mandal,maharashtra,"Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9850730341 Email:  secretary@mam.org.in Website:  http://www.mam.org.in
Mahatma Phule Samaj Seva Mandal,gujarat,"Agriculture, Disaster Prevention, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  7775903052 Email:  admin@mpssm.org Website:  http://www.mpssm.org
Mahatma Phule Samaj Seva Mandal,maharashtra,"Agriculture, Disaster Prevention, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  7775903052 Email:  admin@mpssm.org Website:  http://www.mpssm.org
Mahatma's Trust,tamil nadu,"Education, Environment, Health, Rural Development, Women Empowerment",Tel:  9344451605 Email:  mahatmastrustmadurai@gmail.com Website:  http://www.mahatmaoldagehome.org
"Mahila Abhivruddhi Society, Andhra Pradesh (APMAS)",andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9440006000 Email:  creddy@apmas.org Website:  http://www.apmas.org/
"Mahila Abhivruddhi Society, Andhra Pradesh (APMAS)",bihar,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9440006000 Email:  creddy@apmas.org Website:  http://www.apmas.org/
"Mahila Abhivruddhi Society, Andhra Pradesh (APMAS)",telangana,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9440006000 Email:  creddy@apmas.org Website:  http://www.apmas.org/
Mahila Housing Sewa Trust,bihar,Women Empowerment,Tel:  9825029281 Email:  bijalb@mahilahsg.org Website:  https://www.mahilahousingtrust.org/
Mahila Housing Sewa Trust,delhi,Women Empowerment,Tel:  9825029281 Email:  bijalb@mahilahsg.org Website:  https://www.mahilahousingtrust.org/
Mahila Housing Sewa Trust,gujarat,Women Empowerment,Tel:  9825029281 Email:  bijalb@mahilahsg.org Website:  https://www.mahilahousingtrust.org/
Mahila Housing Sewa Trust,jharkhand,Women Empowerment,Tel:  9825029281 Email:  bijalb@mahilahsg.org Website:  https://www.mahilahousingtrust.org/
Mahila Housing Sewa Trust,madhya pradesh,Women Empowerment,Tel:  9825029281 Email:  bijalb@mahilahsg.org Website:  https://www.mahilahousingtrust.org/
Mahila Housing Sewa Trust,maharashtra,Women Empowerment,Tel:  9825029281 Email:  bijalb@mahilahsg.org Website:  https://www.mahilahousingtrust.org/
Mahila Housing Sewa Trust,rajasthan,Women Empowerment,Tel:  9825029281 Email:  bijalb@mahilahsg.org Website:  https://www.mahilahousingtrust.org/
Mahita,andhra pradesh,"Education, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9848120092 Email:  mahitahyd2002@yahoo.com Website:  http://www.mahita.org
Mahita,telangana,"Education, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9848120092 Email:  mahitahyd2002@yahoo.com Website:  http://www.mahita.org
Maitri Manthan Sansthan Udaipur,rajasthan,"Education, Health, Women Empowerment",Tel:  9680054202 Email:  maitrimannthan@gmail.com Website:  http://www.maitrimannthan.org
Majhipara Ambedkar Centre For Human Research And Development,west bengal,"Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9433211479 Email:  machrd.centre@gmail.com Website:  http://machrd.org
Make A Difference,andhra pradesh,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,chandigarh,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,delhi,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,gujarat,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,karnataka,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,kerala,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,madhya pradesh,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,maharashtra,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,tamil nadu,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,telangana,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,uttarakhand,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,uttar pradesh,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make A Difference,west bengal,"Education (Including Vocational Training), Livelihood",Tel:  9900399313 Email:  mannat@makeadiff.in Website:  http://www.makeadiff.in
Make My Dream Foundation,maharashtra,Education,Tel:  9404661591 Email:  mmdfoundation@outlook.com Website:  http://www.makemydream.org.in
Malabar Social Service Society,kerala,"Agriculture, Disaster Prevention, Education, Environment, Livelihood, Rural Development, Women Empowerment",Tel:  9496089098 Email:  info@masss.in Website:  http://www.masss.org
Malda Sahayogita Samiti,west bengal,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8617446658 Email:  mss.malda@gmail.com Website:  http://www.maldasahayogita.in 
Mamre Foundation Society,andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9441130880 Email:  mamrefoundationbmt3@gmail.com Website:  http://www.mamrefoundationsociety.in
Mamta Health Institute For Mother And Child,assam,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,bihar,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,chattisgarh,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,delhi,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,haryana,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,himachal pradesh,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,jharkhand,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,karnataka,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,madhya pradesh,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,maharashtra,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,odisha,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,rajasthan,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,tamil nadu,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,uttarakhand,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Mamta Health Institute For Mother And Child,uttar pradesh,"Health, Livelihood, Women Empowerment",Tel:  9810036470 Email:  mamta@yrshr.org Website:  http://www.mamta-himc.org
Manav  Seva  Sansthan,madhya pradesh,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8052118674 Email:  mssftp@gmail.com Website:  http://www.mssin.org
Manav  Seva  Sansthan,maharashtra,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8052118674 Email:  mssftp@gmail.com Website:  http://www.mssin.org
Manav  Seva  Sansthan,uttar pradesh,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8052118674 Email:  mssftp@gmail.com Website:  http://www.mssin.org
Manav Jeevan Vikas Samiti,madhya pradesh,"Agriculture, Education, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9425157561 Email:  mjvskatni@gmail.com Website:  http://www.mjvs.org
Manav Sansadhan Evam Mahila Vikas Sansthan,uttar pradesh,"Education, Livelihood, Women Empowerment",Tel:  NA Email:  msvs_vns@yahoo.co.in Website:  http://msemvs.org
Manav Vikas Sansthan,chandigarh,"Agriculture, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9816435760 Email:  director.mvs@gmail.com Website:  http://www.mvshpindia.com
Manav Vikas Sansthan,himachal pradesh,"Agriculture, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9816435760 Email:  director.mvs@gmail.com Website:  http://www.mvshpindia.com
Manav Vikas Sansthan,punjab,"Agriculture, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9816435760 Email:  director.mvs@gmail.com Website:  http://www.mvshpindia.com
Manavodaya,bihar,"Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9839310461 Email:  manavodayaindia@gmail.com Website:  http://www.manavodaya.org
Manavodaya,chattisgarh,"Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9839310461 Email:  manavodayaindia@gmail.com Website:  http://www.manavodaya.org
Manavodaya,gujarat,"Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9839310461 Email:  manavodayaindia@gmail.com Website:  http://www.manavodaya.org
Manavodaya,karnataka,"Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9839310461 Email:  manavodayaindia@gmail.com Website:  http://www.manavodaya.org
Manavodaya,kerala,"Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9839310461 Email:  manavodayaindia@gmail.com Website:  http://www.manavodaya.org
Manavodaya,madhya pradesh,"Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9839310461 Email:  manavodayaindia@gmail.com Website:  http://www.manavodaya.org
Manavodaya,tamil nadu,"Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9839310461 Email:  manavodayaindia@gmail.com Website:  http://www.manavodaya.org
Manavodaya,uttar pradesh,"Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9839310461 Email:  manavodayaindia@gmail.com Website:  http://www.manavodaya.org
Manavodaya,west bengal,"Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9839310461 Email:  manavodayaindia@gmail.com Website:  http://www.manavodaya.org
Mandra Lions Club,west bengal,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9434033145 Email:  mlconline@rediffmail.com Website:  http://www.mandralionsclub.org.in
Manigandam Panchayat Education And Village Development Society,tamil nadu,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9487507192 Email:  tmpevds76@yahoo.com Website:  http://www.mpevds.com
Manikjore Seva Sangha,west bengal,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9732844440 Email:  manikjoresevasangha@gmail.com Website:  https://manikjoresevasangha.in
Manipur Nature Cure And Yoga Hospital,manipur,"Health, Livelihood",Tel:  7085810626 Email:  mnchospitalmanipur@gmail.com Website:   http://www.yourdomain.com
Manitham,tamil nadu,"Education, Environment, Rural Development, Women Empowerment",Tel:  9442560489 Email:  creaacademy993@gmail.com Website:  http://www.creaschool.in
Manovah,puducherry,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9444167525 Email:  sevalayamurali@sevalaya.org Website:  https://sevalaya.org
Manovah,tamil nadu,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9444167525 Email:  sevalayamurali@sevalaya.org Website:  https://sevalaya.org
Manuvikasa,karnataka,"Agriculture, Education (Including Vocational Training), Environment, Forestry, Livelihood, Rural Development, Women Empowerment / Gender",Tel:  9845982552 Email:  manuvikasa@gmail.com Website:  http://manuvikasaindia.org
Marathwada Gramin Vikas Sanstha,maharashtra,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  7798530094 Email:  mgvs.vaijapur@gmail.com Website:  https://www.mgvsabad.org/
Marathwada Navnirman Lokayat (MANAVLOK),maharashtra,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9823030005 Email:  admin@manavlok.org Website:  https://www.manavlok.org
Margadarshi Action For Social Service,andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9959553939 Email:  margadarshirudra@gmail.com Website:  http://www.margadarshingo.in
Mary Anne Charity Trust (MACT),tamil nadu,"Agriculture, Disaster Prevention, Education, Environment, Health, Rural Development, Water, Sanitation & Hygiene",Tel:  9444011035 Email:  cyril@mactindia.org Website:  http://www.mactindia.org
Masoom,gujarat,"Education (Including Vocational Training), Livelihood",Tel:  9821084705 Email:  communications2@masoomeducation.org Website:  http://masoomeducation.org/2
Masoom,maharashtra,"Education (Including Vocational Training), Livelihood",Tel:  9821084705 Email:  communications2@masoomeducation.org Website:  http://masoomeducation.org/2
Mass Welfare Society,west bengal,"Education, Health, Women Empowerment",Tel:  9330951512 Email:  mwsindia2003@yahoo.co.in Website:  http://www.masswelfaresociety.org
Matri Sudha,delhi,"Education, Health, Women Empowerment",Tel:  9910144337 Email:  matrisudha2000@yahoo.co.in Website:  http://www.matrisudha.org
Matri Sudha,haryana,"Education, Health, Women Empowerment",Tel:  9910144337 Email:  matrisudha2000@yahoo.co.in Website:  http://www.matrisudha.org
Mauli Multipurpose Charitable Society,goa,"Agriculture, Disaster Prevention, Education, Health, Rural Development",Tel:  9049986616 Email:  maulisociety.nerle@gmail.com Website:  http://www.mauli.org
Mauli Multipurpose Charitable Society,maharashtra,"Agriculture, Disaster Prevention, Education, Health, Rural Development",Tel:  9049986616 Email:  maulisociety.nerle@gmail.com Website:  http://www.mauli.org
Meera Foundation,tamil nadu,"Agriculture, Education, Environment, Forestry, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9842085893 Email:  meerafound@gmail.com Website:  http://www.meerafoundation.wordpress.com
Meghshala Trust,karnataka,Education,Tel:  9945195551 Email:  jaimala@meghshala.online Website:  http://www.meghshala.online
Meghshala Trust,manipur,Education,Tel:  9945195551 Email:  jaimala@meghshala.online Website:  http://www.meghshala.online
Meghshala Trust,sikkim,Education,Tel:  9945195551 Email:  jaimala@meghshala.online Website:  http://www.meghshala.online
Men Against Violence And Abuse (MAVA),maharashtra,Women Empowerment,Tel:  9870307748 Email:  saharsh267@gmail.com Website:  http://mavaindia.org/
Miracle Organization Towards Health And Education Remedial Society (MOTHER SOCIETY),andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9959241789 Email:  mothersociety.org@gmail.com Website:  http://www.mothersociety.org
Mission For Vision,andhra pradesh,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,arunachal pradesh,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,assam,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,bihar,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,chattisgarh,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,daman & diu,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,gujarat,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,karnataka,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,madhya pradesh,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,maharashtra,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,manipur,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,meghalaya,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,mizoram,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,odisha,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,punjab,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,rajasthan,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,tamil nadu,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,telangana,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,uttarakhand,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,uttar pradesh,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mission For Vision,west bengal,Health,Tel:  9820652563 Email:  ekurian@missionforvision.org.in Website:  https://www.missionforvision.org.in
Mobile Agricultural School & Services,jharkhand,"Agriculture, Forestry, Livelihood","Tel:  9431588284, 7260987744 Email:  vijmassmoon@yahoo.com Website:  http://www.massindia.org.in"
Mobile Creches For Working Mother's Children,arunachal pradesh,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,assam,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,chandigarh,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,chhattisgarh,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,daman & diu,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,delhi,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,gujarat,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,haryana,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,jammu & kashmir,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,jharkhand,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,karnataka,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,madhya pradesh,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,odisha,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,rajasthan,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,telangana,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,uttarakhand,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobile Creches For Working Mother's Children,uttar pradesh,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Women Empowerment / Gender",Tel:  NA Email:  sweta.bh@mobilecreches.org Website:  https://www.mobilecreches.org/
Mobility India,assam,"Education, Health, Rural Development, Women Empowerment",Tel:  9845467862 Email:  frucom@mobility-india.org Website:  http://www.mobility-india.org
Mobility India,karnataka,"Education, Health, Rural Development, Women Empowerment",Tel:  9845467862 Email:  frucom@mobility-india.org Website:  http://www.mobility-india.org
Mother Care Child Development Society,delhi,"Education, Environment, Health, Women Empowerment",Tel:  9990332489 Email:  mothercarechilddevelopment@gmail.com Website:  http://www.mothercaresociety.com/
Mother Care Child Development Society,uttar pradesh,"Education, Environment, Health, Women Empowerment",Tel:  9990332489 Email:  mothercarechilddevelopment@gmail.com Website:  http://www.mothercaresociety.com/
Mother Theresa Social Service And Development Society,tamil nadu,"Agriculture, Education, Environment, Forestry, Health, Rural Development, Women Empowerment",Tel:  9944567984 Email:  mtssds1994@gmail.com Website:  https://www.mtssds.org.in
Motilal Jan Sahyog Samiti,uttar pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9793225578 Email:  sahyog.samiti09@gmail.com Website:  http://www.mjssald.co.in
Mountain Children's Foundation,uttarakhand,"Disaster Prevention, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9412034596 Email:  mcfglobal@gmail.com Website:  http://www.mcfglobal.ngo/wp-admin
Muktangan Education Trust,maharashtra,"Education (Including Vocational Training), Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Women Empowerment / Gender",Tel:  9820196452 Email:  payalmaheshwari@muktanganedu.org Website:  https://www.muktanganedu.org/
Mukti Rehabilitation Centre,west bengal,"Education, Health, Rural Development, Women Empowerment",Tel:  9831084240 Email:  muktirc@gmail.com Website:  https://muktirc.in/
Muskaan,delhi,"Education, Livelihood",Tel:  9911591810 Email:  muskaan32@gmail.com Website:  http://www.muskaanthengo.org
Muskaan,uttar pradesh,"Education, Livelihood",Tel:  9911591810 Email:  muskaan32@gmail.com Website:  http://www.muskaanthengo.org
Mythri Sarva Seva Samithi,andhra pradesh,"Agriculture, Education, Environment, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9448345018 Email:  msss87@gmail.com Website:  http://www.msss.in
